person_name,person_id,num_videos,facial_symmetry_mean_mean,facial_symmetry_mean_std,facial_symmetry_std_mean,facial_symmetry_std_std,facial_symmetry_median_mean,facial_symmetry_median_std,face_width_height_ratio_mean_mean,face_width_height_ratio_mean_std,face_width_height_ratio_std_mean,face_width_height_ratio_std_std,eye_spacing_ratio_mean_mean,eye_spacing_ratio_mean_std,eye_spacing_ratio_std_mean,eye_spacing_ratio_std_std,jaw_ratio_mean_mean,jaw_ratio_mean_std,jaw_ratio_std_mean,jaw_ratio_std_std,smile_intensity_mean_mean,smile_intensity_mean_std,smile_intensity_std_mean,smile_intensity_std_std,smile_intensity_max_mean,smile_intensity_max_std,eye_contact_mean_mean,eye_contact_mean_std,eye_contact_std_mean,eye_contact_std_std,eye_openness_mean_mean,eye_openness_mean_std,eye_openness_std_mean,eye_openness_std_std,gaze_stability_mean_mean,gaze_stability_mean_std,gaze_stability_std_mean,gaze_stability_std_std,head_tilt_mean_mean,head_tilt_mean_std,head_tilt_std_mean,head_tilt_std_std,expression_speed_mean_mean,expression_speed_mean_std,expression_speed_std_mean,expression_speed_std_std,happy_mean_mean,happy_mean_std,neutral_mean_mean,neutral_mean_std,surprise_mean_mean,surprise_mean_std,processed_frames_mean,processed_frames_std
Ashahina Aya,ashahina_aya,7,0.8282648126284282,0.056034778648160914,0.0996559870739778,0.027396416993041687,0.8522604604562123,0.07196122453692386,1.0900293389956157,0.252700141847564,0.13159972243010998,0.05490807256669224,0.6493933101495106,0.017426268522154814,0.03105840583642324,0.00721113015178571,0.7667463421821594,0.010564300100452284,0.02353640180081129,0.0030426559510029335,0.21181223914027214,0.07969916674891098,0.18110485871632892,0.04099007905244634,0.7330069988965988,0.177126761577698,0.972373108069102,0.011910864567999585,0.030886747563878693,0.009664991069507037,0.8491981426874797,0.09625147986232438,0.17041029036045074,0.0395491487349801,0.9862455924352009,0.0032047704532062894,0.022389095897475876,0.004970164400212215,0.14918898170193035,0.04181017438491611,0.11076476300756136,0.032705052620037776,0.1859256277481715,0.03120009734937511,0.20929279923439026,0.03313109545647813,0.1680762382845084,0.06535235564362848,0.25659526387850445,0.1047458914074377,0.07532635024593523,0.05213228751361034,66.66666666666667,17.741530507876277
Asuka Saito,asuka_saito,8,0.8912796803883144,0.02988600974871154,0.09125342858689171,0.024557219344082303,0.9216951983315604,0.02846807567878948,1.265893084662301,0.29671488005079716,0.14142158680728503,0.054259060709101296,0.6696511677333287,0.009207516949628335,0.030984113258974894,0.004973124844323488,0.7935575417109898,0.008303169277554007,0.02084034707929407,0.003034982389336858,0.25579035707882475,0.12879941494062838,0.2274170539208821,0.06300598900221757,0.8304556437901088,0.1925305451995858,0.9698576586587089,0.007558729519794484,0.03173122448580606,0.008302656305623641,0.8362248539924622,0.07261673663901452,0.19578707431043899,0.04500516593086271,0.984515803200858,0.004246800425456898,0.01981220593942063,0.006433663989530129,0.1349750038768564,0.04172754665708517,0.11618719303182193,0.030964161870089324,0.1763250348823411,0.07163548617512527,0.18758511117526463,0.04355618048463657,0.21685849343027389,0.07446637342976882,0.316138248358454,0.1024802951109005,0.024407968615248268,0.014264406580412793,103.42857142857143,46.9597091740812
Ayaka Konno,ayaka_konno,8,0.9099577835627964,0.0278550075139329,0.07552982281361308,0.028672394129647494,0.9246688910893032,0.03732282053861797,0.8637536764144897,0.3490963439008736,0.07284006103873253,0.025812721397613002,0.6469534465244838,0.01057014922030363,0.024431722770844187,0.0028608752176718932,0.7778043576649257,0.010175382211079742,0.023515193057911738,0.00525603393129098,0.30486310699156355,0.1504840069372756,0.26751026830502916,0.09543928960083396,0.9024462231567928,0.17368118845715155,0.9697271159717015,0.010646316707588175,0.02934120568845953,0.010444323258700955,0.7815167903900146,0.08269366589772464,0.23637371403830393,0.05231621943227875,0.9853921702929905,0.005488407714814426,0.01998051887910281,0.008377937531326212,0.11452331713267735,0.027992466395003194,0.1060114832861083,0.02652828433085903,0.22051527883325303,0.04015731764333556,0.21639794536999293,0.042182539583143164,0.21255269912736757,0.14908327636965082,0.24838133369173324,0.11263349754297522,0.03339110780507326,0.03198518147732123,115.14285714285714,92.2922377172487
Bae Suzy,bae_suzy,6,0.8434060454368592,0.045664175213664844,0.10784294456243515,0.02302987704937149,0.869869589805603,0.06131288797489017,0.9552790403366088,0.19612602384346747,0.10562993660569191,0.032192610706349836,0.662400496006012,0.004723541095652875,0.02719290181994438,0.007900696349973438,0.7859893321990966,0.011958793462500488,0.020979181118309497,0.004209813655266588,0.15407729744911194,0.03263981895946796,0.17733440399169922,0.024388879901620263,0.6238121747970581,0.10139259065256422,0.9512934923171997,0.009061297291992135,0.04649779573082924,0.010635387247299769,0.8992636442184448,0.06291046096431888,0.1595577172935009,0.056847830516128,0.9787132740020752,0.008992686335612184,0.028211937472224235,0.010175964918247371,0.13605927675962448,0.030719109889916205,0.1113277018070221,0.029760293744244777,0.14392642229795458,0.04748865480281529,0.16995731145143508,0.03733127111332369,0.14896717816591262,0.05145331718193953,0.36295886635780333,0.06383706917425278,0.015419068420305848,0.00975657009662827,90.60000000000001,26.6120273560659
Bao Thượng Ân,bao_thng_n,9,0.8705061972141266,0.04515077985921991,0.07327764038927853,0.0273167027250287,0.8834857046604156,0.051491201182430474,1.1127338334918022,0.23721601466743472,0.10877966415137053,0.07550220949777853,0.6407137513160706,0.01786008156473384,0.02920360676944256,0.00987751669023207,0.7750863954424858,0.012490207632306865,0.021609419665765017,0.008956336567290309,0.1333180028013885,0.06597035802498027,0.17092782584950328,0.07437184821210505,0.7076600920408964,0.2635480311018433,0.9536927565932274,0.010647548756563402,0.03714531206060201,0.013857123854002139,0.7233445271849632,0.1818980271068491,0.18295052647590637,0.09172116935144917,0.9857148230075836,0.005113841020495386,0.021094476454891264,0.008303500864428192,0.09752210043370724,0.01775954908428602,0.09117614827118814,0.05980404480204528,0.12698526214808226,0.06372533327599306,0.1584310713224113,0.07379369747975076,0.1592583311139606,0.11368395141182225,0.37921062111854553,0.08911127011583424,0.019565952776247286,0.019359772510438713,78.25,28.82032461842009
Bạch Băng,bch_bng,7,0.866357018550237,0.0518329632346802,0.08289858947197595,0.031297679678052234,0.8808415234088898,0.060704907595550445,0.8283723791440327,0.2731633378433217,0.10004988374809423,0.04697351592105217,0.6657420098781586,0.007499799922764555,0.031189315021038055,0.0061184501153449715,0.7782937089602153,0.010051268692270538,0.0228535703693827,0.005087863586004655,0.13131701884170374,0.09194820296614392,0.1703280595441659,0.0816665845019935,0.6737711032231648,0.2198531172872728,0.9416974385579426,0.021675190621837256,0.042205968250830964,0.014229235182013624,0.9180683990319569,0.0285021960243596,0.1619788569708665,0.0320843152664926,0.9771806995073955,0.012776652448871498,0.028063389317442976,0.011050420982987185,0.19845603903134662,0.07360411583573319,0.17648635059595108,0.06347556977302182,0.1570007788638274,0.05103555494518324,0.18227575967709225,0.04860183671329043,0.2956164553761482,0.092406236672796,0.28653530279795325,0.11000351372386197,0.024172975992163025,0.006645261673978051,104.5,25.234613416609225
Blake Lively,blake_lively,6,0.8975227952003478,0.02314212129046307,0.06261762082576751,0.012533568037412023,0.8957159519195557,0.025831647772626677,1.0387884140014647,0.26066744692392463,0.12502020373940467,0.055373051516996875,0.6439374208450318,0.010615733644293142,0.02820981815457344,0.00326688732477523,0.7937597870826721,0.0050499850718865496,0.02037825435400009,0.003325891965214139,0.28204665184021,0.14246976602739944,0.2386018842458725,0.08188178512876211,0.8609000563621522,0.13653689098759614,0.9717533946037292,0.005298596526815846,0.023901331052184106,0.003231040677415052,0.5602238178253174,0.0734500035055998,0.22393918633461,0.03495499749240554,0.9845214724540711,0.0014482593935197401,0.018477345071732997,0.00258875897537537,0.12528326511383056,0.03676118005377944,0.11554535925388336,0.03931801098807589,0.23179442584514617,0.07325627142577637,0.20037622451782225,0.044881444673893274,0.24055858552455903,0.12688222364403054,0.2194723829627037,0.07183534005513757,0.012512633041478692,0.009620600802805161,116.60000000000001,98.53019841652608
Cổ Lực Na Trát,c_lc_na_trt,8,0.8412203107561383,0.05142885679481957,0.10432294117552894,0.027198185020605763,0.8429724999836513,0.07860806332734449,1.1951774954795837,0.20300495546427538,0.11524006405047008,0.031875710025298556,0.6456683533532279,0.007485758525297593,0.02236174965011222,0.004388721811901509,0.7746940936361041,0.009704365127381194,0.022019331875656332,0.007163641375823211,0.11559811340911048,0.05810781170644419,0.10917262679764203,0.0446385042390199,0.4864290697234018,0.17811389178407644,0.9572332671710423,0.015324518944375403,0.03942106344870159,0.012992153123018522,0.7834612727165222,0.10191785399034116,0.19822904467582703,0.04464937904717508,0.9841165883200509,0.004559686763376638,0.022397341206669807,0.007863585490805569,0.09711511645998273,0.029373825309567062,0.08723886470709528,0.023463681654004663,0.11747642074312482,0.023899592531372103,0.14459547506911413,0.023395015000299276,0.13697132920580252,0.1176576186143113,0.3757062277623585,0.13759063754325826,0.03384271476949964,0.012877602778463575,98.85714285714286,38.09668152027343
Can Đình ĐÌnh,can_nh_nh,9,0.7746441215276718,0.05922660953727272,0.12749343551695347,0.018189265931305022,0.7938654124736786,0.0633383608960528,1.3235533982515335,0.17280435349550113,0.12880477122962475,0.03686233856840601,0.6515109539031982,0.010096038068249614,0.028676871908828616,0.007360241611083385,0.769395999610424,0.0070813564028545,0.0229025948792696,0.006211048596899035,0.12053841724991798,0.04656418399001924,0.12645658571273088,0.03455141144079457,0.573147613555193,0.1849620002670347,0.9352525770664215,0.014208893208089884,0.045127918710932136,0.012850691931912695,0.8995997980237007,0.06931980885862558,0.15639956295490265,0.059362470616345704,0.9765540584921837,0.010988111116817807,0.031201292062178254,0.015673047262858383,0.12517860904335976,0.06014253626421342,0.11404238874092698,0.07985957196461872,0.11943147238343954,0.036514102104282374,0.1416399097070098,0.026535166336356882,0.18995720520615578,0.0755666267973658,0.31409138441085815,0.09695085440835946,0.02301104822254274,0.016766388145518674,79.75,23.351183648324508
Catherine zeta jones,catherine_zeta_jones,6,0.8724802255630494,0.04773013965579385,0.06913746520876884,0.02036682082616541,0.8717446565628052,0.05559763577496657,1.091111171245575,0.33815478790071124,0.1033882562071085,0.062414520858877484,0.6514745712280273,0.011222992179366094,0.02632899135351181,0.008471778623465478,0.7941158294677734,0.00862421037267647,0.02029544673860073,0.0039832764461068424,0.1522819757461548,0.10315868560108536,0.16744502484798432,0.07342630230809541,0.6791838705539703,0.25022357239021675,0.9582550883293152,0.01987826734554225,0.030816983431577682,0.016045469371027497,0.7545813798904418,0.1488601356058016,0.19349165111780167,0.04275424093936261,0.990298318862915,0.0034454346849886364,0.013999679684638977,0.005335135420487691,0.09929015338420867,0.03066789190388619,0.07654604688286781,0.03285985838174912,0.11201457530260085,0.02166763216216882,0.1429607629776001,0.027612108413790342,0.19352817833423616,0.07661634927930307,0.2554538369178772,0.06873165506983724,0.022871879395097494,0.019643422380824425,105.60000000000001,37.37913856685303
