person_id,person_name,facial_symmetry_mean,facial_symmetry_std,facial_symmetry_median,face_width_height_ratio_mean,face_width_height_ratio_std,eye_spacing_ratio_mean,eye_spacing_ratio_std,jaw_ratio_mean,jaw_ratio_std,smile_intensity_mean,smile_intensity_std,smile_intensity_max,eye_contact_mean,eye_contact_std,eye_openness_mean,eye_openness_std,gaze_stability_mean,gaze_stability_std,head_tilt_mean,head_tilt_std,expression_speed_mean,expression_speed_std,happy_mean,neutral_mean,surprise_mean,processed_frames,video_name,video_file
anne_hathaway,Anne Hathaway,0.8531695604324341,0.07409214973449707,0.854371964931488,1.418331265449524,0.11608508229255676,0.6526751518249512,0.03159618377685547,0.7829679846763611,0.018287332728505135,0.15085946023464203,0.1330249160528183,0.48553162813186646,0.9632330536842346,0.02762278914451599,0.8573712110519409,0.17609988152980804,0.9855266213417053,0.01825774647295475,0.035690177232027054,0.04122220724821091,0.13976609706878662,0.1594604253768921,0.03303725644946098,0.5230795741081238,0.0025980512145906687,69.0,2,raw/anne_hathaway/2.mp4
anne_hathaway,Anne Hathaway,0.8648545145988464,0.05703901872038841,0.8544497489929199,1.3785104751586914,0.15539853274822235,0.666860044002533,0.0335419699549675,0.7902498841285706,0.02304353192448616,0.14642052352428436,0.21145597100257874,0.9104431867599487,0.9652654528617859,0.026162903755903244,0.6667886972427368,0.23330332338809967,0.9846062064170837,0.022028984501957893,0.1076883003115654,0.08131235837936401,0.1661638617515564,0.22866055369377136,0.2602529525756836,0.37687668204307556,0.00673596141859889,85.0,3,raw/anne_hathaway/3.mp4
anne_hathaway,Anne Hathaway,0.8633063435554504,0.10283516347408295,0.8787190914154053,1.0643619298934937,0.09578612446784973,0.6505724191665649,0.03829125687479973,0.7872626781463623,0.02078881859779358,0.17666035890579224,0.2244889736175537,0.990394651889801,0.951619565486908,0.04937831312417984,0.8055108189582825,0.24175873398780823,0.977074146270752,0.037047915160655975,0.13402636349201202,0.11897462606430054,0.1683276891708374,0.18469636142253876,0.11505627632141113,0.4135383665561676,0.011644328013062477,119.0,4,raw/anne_hathaway/4.mp4
anne_hathaway,Anne Hathaway,0.8158445358276367,0.0330737866461277,0.8238182067871094,1.1944589614868164,0.13758371770381927,0.6380641460418701,0.026821523904800415,0.8163699507713318,0.02460540644824505,0.18931430578231812,0.18531060218811035,0.4737844467163086,0.9660726189613342,0.021701229736208916,0.3583848178386688,0.10611969977617264,0.98802250623703,0.011137350462377071,0.06661476939916611,0.030415896326303482,0.16681799292564392,0.13400320708751678,0.32202523946762085,0.12319353222846985,0.08411438763141632,18.0,5,raw/anne_hathaway/5.mp4
anne_hathaway,Anne Hathaway,0.8970052599906921,0.0743599385023117,0.9123083353042603,1.3944125175476074,0.19654978811740875,0.6611109972000122,0.03231578320264816,0.7859014272689819,0.02384159155189991,0.1322433352470398,0.139322429895401,0.5920698046684265,0.9652501940727234,0.03978840634226799,0.6366483569145203,0.2386239469051361,0.9792800545692444,0.038130950182676315,0.10530438274145126,0.09108933061361313,0.1629187911748886,0.16404564678668976,0.1935984492301941,0.21923129260540009,0.015918657183647156,107.0,6,raw/anne_hathaway/6.mp4
anne_hathaway,Anne Hathaway,0.7698266506195068,0.1271360069513321,0.7519557476043701,1.4223337173461914,0.11847791075706482,0.673271119594574,0.04175812751054764,0.7816465497016907,0.02136198803782463,0.15389558672904968,0.15192767977714539,0.6401309967041016,0.9219664931297302,0.056793902069330215,0.9653152823448181,0.09657363593578339,0.9662919640541077,0.041478510946035385,0.15566714107990265,0.18189746141433716,0.13294078409671783,0.153401717543602,0.4063172936439514,0.24395643174648285,0.03099541738629341,102.0,7 (2),raw/anne_hathaway/7 (2).mp4
anne_hathaway,Anne Hathaway,0.8536928381238665,0.07497455073254448,0.8570096918514797,1.2113929646355766,0.12315118366054126,0.6567214386803764,0.032455766307456155,0.7901371462004525,0.021759352779814174,0.18964906675474985,0.20109002717903682,0.7274792449814933,0.9570973345211574,0.03620400519243309,0.7322190701961517,0.1899267105119569,0.9807689445359367,0.027491065407437936,0.10009507888129779,0.09161276317068509,0.1591415618147169,0.1784405963761466,0.19823975062796048,0.3539995551109314,0.022293763401518975,80.85714285714286,person_profile,raw/anne_hathaway/person_profile.mp4
anya_taylor_joy,Anya Taylor Joy,0.7904107570648193,0.04619583487510681,0.7858591079711914,1.365105390548706,0.050838541239500046,0.6827564835548401,0.01922074519097805,0.7796458601951599,0.01471339724957943,0.2734634280204773,0.18365423381328583,0.8569431304931641,0.9619678854942322,0.021393539384007454,0.6379106640815735,0.15625956654548645,0.9897298812866211,0.013093517161905766,0.06081856042146683,0.04748678207397461,0.1682738959789276,0.1556437611579895,0.22983522713184357,0.3203294277191162,0.019105762243270874,422.0,1,raw/anya_taylor_joy/1.mp4
anya_taylor_joy,Anya Taylor Joy,0.9150201678276062,0.05460615083575249,0.9276760220527649,1.0899851322174072,0.11631467938423157,0.6843476295471191,0.049233268946409225,0.7698484659194946,0.026480084285140038,0.12776429951190948,0.18855033814907074,0.7395155429840088,0.9721894264221191,0.024349374696612358,0.5680994987487793,0.2949751913547516,0.9901738166809082,0.013293415307998657,0.06870889663696289,0.051982782781124115,0.21156081557273865,0.25863733887672424,0.18089695274829865,0.3074818253517151,0.019599011167883873,80.0,2,raw/anya_taylor_joy/2.mp4
anya_taylor_joy,Anya Taylor Joy,0.9080526232719421,0.06159276142716408,0.8804527521133423,0.8021753430366516,0.1131884977221489,0.6783831715583801,0.03680016100406647,0.7859290838241577,0.02981371060013771,0.24033400416374207,0.2711988091468811,0.7549337148666382,0.9658153653144836,0.028626155108213425,0.8137345314025879,0.2059393972158432,0.9804071187973022,0.021609101444482803,0.0688050389289856,0.07595931738615036,0.28609704971313477,0.24139560759067535,0.19798967242240906,0.223555326461792,0.09285770356655121,40.0,3,raw/anya_taylor_joy/3.mp4
anya_taylor_joy,Anya Taylor Joy,0.8537548184394836,0.09239887446165085,0.8652513027191162,1.135589361190796,0.07258667796850204,0.7031280994415283,0.02304910495877266,0.7607617974281311,0.013696745038032532,0.1102585718035698,0.10674437135457993,0.34572070837020874,0.9709805250167847,0.029521342366933823,0.9760028719902039,0.07608116418123245,0.9870916604995728,0.023903626948595047,0.07667756825685501,0.06293094158172607,0.07054051756858826,0.11714333295822144,0.02597219869494438,0.1421140432357788,0.0024354292545467615,64.0,4,raw/anya_taylor_joy/4.mp4
