person,mean_all,weighted_mean,core_percentile_40,largest_cluster_center,core_percentile_40_norm,largest_cluster_center_norm,ensemble_score
Son Ye-jin,-0.03524805,-0.09867157,0.22776444,0.14580533,0.6791620701436833,0.5725923927399286,0.6418626830523692
Ân Đào,-0.014515872,0.16971393,0.0879534,0.46218482,0.5718377424527459,0.7713571692502893,0.6416695418318861
Lưu Hạo Tồn,0.12367213,0.023202661,0.167903,0.23857749,0.6332101281324417,0.6308763151546952,0.6323932935902304
Tần Lam,0.14283955,0.6551202,0.30799145,-0.10761921,0.7407474064011357,0.413378936597936,0.6261684419700158
Daran Tasha,-0.022524469,-0.26139244,0.11684495,0.31572545,0.5940160066277289,0.6793443654307427,0.6238809322087837
Shin Se-kyung,0.00697348,0.29599875,0.15286703,0.23268604,0.6216679396798623,0.6271750235742203,0.6235954190428876
Han Hyo-joo,-0.1420394,0.124427125,0.2532412,-0.013308252,0.6987190102733282,0.472629605752716,0.619587718691114
Yui Asakura,-0.04789813,0.040105306,0.116612285,0.28885356,0.5938374040316662,0.6624621547341486,0.617856066777535
Kim Yoo-jung,0.06416742,0.31215063,0.2748075,-0.07689343,0.715274131015446,0.4326823459144075,0.6163670062300826
Im Jinnah,-0.06550399,-0.1367233,0.041741926,0.44619143,0.536364038955102,0.7613093542386619,0.6150948993043479
Toda Erika,-0.14931174,0.0577035,0.35663897,-0.2770097,0.7780911124334451,0.30695970288645075,0.6131951190919971
Quan Tuyết Doanh,0.1530581,-0.015506952,-0.016618341,0.49893898,0.491564455033556,0.794447896143572,0.5975736594220615
Chu Lâm,0.09273881,0.38874814,0.18270627,0.044824988,0.6445736871216133,0.5091516965381305,0.5971759904173943
Komatsu Nana,-0.12121336,0.080017,0.21350369,-0.057250496,0.6682149703572965,0.44502297958354253,0.5900977735864826
Vương Ảnh Lộ,0.12562318,0.12324123,0.13162129,0.113828436,0.605358893113894,0.5525029735762353,0.5868593212757135
Trương Dư Hi,0.061261293,0.10448744,0.003012199,0.4018094,0.506633612002205,0.73342643340196,0.5860110994921193
Imada Mio,0.14548814,0.2527544,0.31924325,-0.3226274,0.7493847205239181,0.2783004748643793,0.5845052345430796
Keira Knightkey,-0.029590352,0.26803097,0.35125878,-0.42546323,0.7739610718114776,0.21369407206877628,0.5778676219015321
Địch Lệ Nhiệt Ba,-0.42699048,-0.042411625,-0.066449225,0.51920813,0.45331235331437064,0.8071819487517387,0.5771667117174495
Song Hye-kyo,0.061604664,0.17242035,0.32592064,-0.3815189,0.7545105417214444,0.24130200876324262,0.5748875551860738
Trương Thiên Ái,0.078025565,-0.079478174,0.005606141,0.34165874,0.5086248215749203,0.695636902570329,0.5740790499233133
Ikeda Eliza,0.005860148,-0.0413587,0.103439346,0.090428635,0.5837253497769469,0.5378020957912945,0.5676522108819686
Katsumura Mika,-0.011984424,-0.06257038,0.25591817,-0.26036415,0.7007739553298761,0.3174172361027855,0.5665991036003943
Thẩm My Trang,0.15461604,-0.07852133,0.12145684,0.007174762,0.5975562706414617,0.48549801798755643,0.5583358822125948
Deva Cassel,0.023388341,-0.18678018,0.004922934,0.26495817,0.5081003656238828,0.6474499241594741,0.5568727111113397
Roh Jeong Un,-0.027664047,0.004975523,0.19273478,-0.16860387,0.6522719568254353,0.3750654469483372,0.555249678368451
Lynne Frederick,0.18217261,0.121201,0.192752,-0.19161794,0.6522851755592551,0.3606069038861944,0.5501977804736838
Hamabe Minami,0.08692702,-0.17318292,0.1541452,-0.11037723,0.6226491120960372,0.4116462160953803,0.5487980984958073
Ashahina Aya,0.12972133,0.024916593,0.09151095,0.030465709,0.574568654560809,0.5001305084665368,0.5485153034278137
Lâm Chí Linh,-0.0035975508,-0.044616785,0.06489458,0.065711096,0.5541369059962948,0.5222733517655009,0.542984662015517
Yoshitaka Yuriko,-0.04413177,0.3000362,0.13689066,-0.1184632,0.6094038640446933,0.40656622175086865,0.5384106892418546
Oh Se Young,-0.005878086,0.38959482,0.17976663,-0.21786213,0.6423171064778144,0.344119044448639,0.537947784767603
Điền Hi Vi,0.107763015,-0.26437128,0.120921865,-0.08710905,0.5971456032706556,0.42626440325252773,0.5373371832643108
Goo Yoon Young,0.015821366,0.47460315,0.17712824,-0.21986042,0.6402917769120198,0.34286362278634075,0.5361919229680321
Đỗ Băng Nhạn,0.02537574,0.15677693,0.12844846,-0.11593781,0.6029233068638552,0.4081527929250984,0.5347536269852904
Fujiyoshi Karin,-0.08031877,-0.18337466,0.03877817,0.07698184,0.5340889459428477,0.5293541739523799,0.532431775746184
Shiraishi Sei,0.09823565,-0.06208072,0.20567776,-0.3195543,0.6622074857136923,0.2802311437414737,0.5285157660234158
Lý Thuần,0.1917892,-0.15610315,0.115722924,-0.11820179,0.593154696347069,0.4067304520561504,0.5279062108452475
Hirose Suzu,-0.011180718,-0.117024496,0.12872832,-0.16648635,0.6031381381557731,0.37639577461766943,0.5237783109174368
Kim Hee Sun,0.050478086,0.15076861,0.20495386,-0.3441379,0.6616517922518921,0.2647865466222985,0.5227489562815343
Thư Nguyễn,0.07763927,0.054509304,-0.012427034,0.14860003,0.4947818633721344,0.5743481573785071,0.5226300662743648
Mao Hiểu Đồng,0.05832246,-0.04647156,-0.009768747,0.13789552,0.49682246663983465,0.567623070560133,0.521602678011939
Sasaki Nozomi,0.09265964,-0.12294735,0.25049618,-0.50189286,0.6966118274214005,0.16567731116648277,0.5107847467321793
Jung Eun-chae,-0.047444817,0.15002832,-0.034491498,0.13687533,0.4778443327975755,0.566982138250178,0.5090425647059863
Anya Taylor Joy,0.18343697,0.12281245,0.07942467,-0.122919224,0.5652907615182823,0.40376673365989035,0.5087573517678451
Miyazawa Rie,0.13934559,0.31472784,0.17835923,-0.350344,0.6412367321469159,0.2608875768139176,0.5081145277803665
Phương Anh Đào,-0.10247321,0.077777006,-0.123498715,0.32360128,0.40951897219539135,0.68429233974407,0.5056896508374289
Diệp Toàn Chân,0.051152676,0.0954762,-0.091892764,0.22806765,0.43378091490111553,0.6242735293712057,0.5004533299656471
Trịnh Sảng,0.00017971959,0.22328179,0.16600314,-0.359058,0.631751722578725,0.2554130238885327,0.5000331780371577
Kang Hye Won,0.13462365,-0.15193973,0.02992077,-0.081495434,0.5272896652845414,0.4297911461828453,0.4931651835989478
Nicole Kidman,-0.08790864,0.015499346,0.08098984,-0.22819932,0.5664922461647882,0.3376247256794447,0.486388613994918
Ishihara Satomi,-0.13020764,0.07825402,0.157177,-0.4147682,0.6249764382978407,0.2204132030962699,0.4833793059772909
Karina,0.12435278,0.18099956,0.042167578,-0.15576385,0.5366907857894743,0.3831321636172608,0.48294526802919957
Monica Belluci,0.04106246,-0.14263095,-0.24699295,0.5003026,0.3147200511296325,0.7953045876583887,0.48292463891469717
Trương Tịnh Nghi,-0.27521697,-0.17587884,-0.27873206,0.55427074,0.29035589045778065,0.8292099627690822,0.4789548157667362
Nakama Yukie,0.120921575,-0.17176515,0.16969563,-0.4633484,0.6345862198169654,0.18989279042404317,0.4789435195294426
Bao Thượng Ân,-0.06753566,-0.3491303,-0.2074844,0.38699344,0.3450483325499967,0.724118336413162,0.47772283390210457
Diana Kruger,-0.005952332,-0.2590384,-0.17392607,0.2912703,0.3708089964123113,0.6639804667650063,0.47341901103575457
Rena Nounen,-0.0658197,-0.047111798,0.15973073,-0.50791246,0.6269367795938798,0.16189550960696394,0.4641723350984593
Miriam Leone,-0.16282727,0.11063143,-0.038565867,-0.06355523,0.47471669056209964,0.4410620431635892,0.462937563972621
Kim Claudia,-0.2984418,-0.38640103,-0.08950638,0.012642279,0.4356127949759108,0.4889329745157802,0.4542748578148651
Fukada Kyoko,0.006144746,0.10497458,0.13281639,-0.505827,0.6062762978054222,0.16320569564595558,0.4512015870496089
Catherine zeta jones,0.070222214,-0.0026997472,-0.04459751,-0.10388492,0.47008656957990286,0.41572499675902563,0.45106001909259585
Anne Hathaway,-0.05730904,-0.3395888,-0.22448081,0.28856823,0.3320012350074169,0.6622828967371093,0.44759981661280923
Asuka Saito,-0.053865194,0.014850319,0.049898196,-0.34027115,0.5426251052787324,0.26721582451123954,0.4462318570101099
Jennifer Connely,-0.0069511337,-0.06379769,-0.0033476083,-0.22069645,0.5017515794909211,0.34233838862496707,0.4459569626878372
Tao Tsuchiya,-0.030046426,0.052855782,0.0916585,-0.44205087,0.574681919611629,0.20327292069314723,0.4446887699901603
Aoi Yu,0.17827049,0.13281141,0.10113846,-0.46934655,0.5819591012529142,0.18612446478376346,0.4434169784887114
Millie Brady,-0.021863053,0.021658324,0.024627902,-0.29974464,0.5232266563858387,0.29267652268385147,0.4425341095901431
Chae Soo Bin,0.048183877,0.06937513,-0.09672396,-0.05518714,0.43007230317314943,0.4463192788291141,0.4357587446527371
Hoshi Moeka,0.15026562,-0.13349345,-0.093544066,-0.1467039,0.43251331202108045,0.3888240589324251,0.417222073440051
Triệu Kim Mạch,0.014225416,0.21345526,-0.19715932,0.029343281,0.3529742607839555,0.49942534533927785,0.40423214037831834
Tống Dật,0.16512549,-0.2343734,-0.20169334,0.034363717,0.3494937727750167,0.5025794241309359,0.4030737507495884
Arimura Kasumi,-0.018917847,-0.23798051,-0.031800613,-0.3541515,0.4799099595429213,0.2584955226179797,0.40241490661919177
Kudo Mio,0.1145492,-0.15194468,0.058744103,-0.56461126,0.549415563468526,0.12627460285853462,0.401316227255029
Jang Gyu-ri,-0.18401158,-0.053269297,-0.18301766,-0.016280662,0.3638299425093316,0.47076219516504747,0.4012562309388321
Deguchi Natsuki,-0.010422275,-0.033624303,0.02449282,-0.50584984,0.5231229622510039,0.16319134646201988,0.3971468967248595
Heidy Larmar,0.09122984,-0.16870931,-0.14985941,-0.11375089,0.38928348958728787,0.4095267210044629,0.39636862058329914
Cúc Tịch Y,0.043685917,0.107111916,-0.34102112,0.31981748,0.2425404140333118,0.6819151750253334,0.39632158038051934
Aragaki Yuko,-0.07189168,-0.013893254,0.10634688,-0.7311052,0.5859572846212092,0.02167512084271422,0.38845852729873603
Tanakashi Rin,-0.102556884,-0.12545507,0.034119375,-0.57791007,0.5305126758484052,0.11791965229741015,0.386105117605557
Quan Hiểu Đồng,-0.020514507,-0.2515034,-0.3544104,0.29589692,0.2322622881123136,0.6668871314489223,0.3843809832801266
Nguyễn Ngoc Huyền,-0.03647253,-0.0067731133,-0.2961028,0.1357965,0.2770214428204977,0.5663043654784895,0.3782704657507948
Jang Won-young,-0.0035403438,0.0026407037,-0.29027402,0.105461374,0.2814958383672183,0.5472463837496371,0.37450852925106487
Matsuzaka Keiko,0.06398249,0.4308642,-0.118265145,-0.28514668,0.41353646167028163,0.3018476616123174,0.3744453816499942
Trương Miểu Di,-0.06532333,-0.23969416,-0.27359882,0.064538755,0.294296362768667,0.5215368308966578,0.3738305266134638
Anna Chipovskaya,-0.047787152,0.05045203,-0.22677046,-0.044142447,0.3302436116688196,0.45325808493114855,0.3732986773106347
Hoài Thu,0.11685905,-0.2786825,-0.24772887,-0.023713056,0.3141551306538653,0.4660928086243873,0.36733331794354795
Okada Nana,0.07307951,0.4059248,-0.115384236,-0.34359968,0.4157479581412596,0.2651246822518028,0.3630298115799497
Nagano Mei,0.00094719656,-0.01123447,0.0661722,-0.7656061,0.5551176562113315,0.0,0.3608264765373655
Nagasawa Masami,0.055565137,0.14494042,0.05606773,-0.7497117,0.5473610766921229,0.00998562474377297,0.35927966851020043
Trương Bá Chi,0.05592782,-0.1881138,-0.053142384,-0.5229482,0.4635271958905735,0.15244933627642382,0.3546499450256211
Lee Ye bin,-0.031506687,-0.1742199,-0.3803563,0.21656393,0.21234521808811313,0.6170463404821985,0.353990610926043
Lâm Duẫn,0.14029986,-0.017186845,-0.12066673,-0.39672217,0.41169291272366304,0.23175058504808121,0.3487130980372094
Choi Ji Woo,0.12195214,-0.21372311,-0.2843114,-0.03579591,0.2860729746418397,0.4585017799678921,0.346423056505958
Aoshima Kokoro,0.08600154,-0.08673528,-0.013238667,-0.69081366,0.49415882268767364,0.046988199586719605,0.3376491046023397
Han Chae-young,-0.22797354,-0.21518844,-0.24197075,-0.19670194,0.31857528486889536,0.35741289113973385,0.3321684470636888
Elina Karinova,0.028498957,-0.24704893,-0.26444504,-0.14837205,0.30132315610580795,0.38777604705929214,0.33158166793952737
Diệp Bảo Ngọc,-0.11755702,-0.20327735,-0.33088562,-0.08194012,0.25032081337310286,0.4295117731001993,0.3130376492775866
Imoto Ayaka,0.02802761,-0.020627238,-0.092154324,-0.64209247,0.4335801313925253,0.07759718894209412,0.3089861015348744
Winona Ryder,-0.38727787,-0.11826612,-0.38032192,-0.0855282,0.21237160949744685,0.4272575690767295,0.2875816953501958
Elle Fanning,0.017820194,-0.37517586,-0.39190152,-0.06503021,0.20348266349625851,0.4401353899533661,0.2863111177562462
Megan Fox,-0.12547466,-0.21599215,-0.21695678,-0.50327784,0.3377769696080353,0.1648072002747454,0.27723755034138386
Tsuyu,0.066964224,-0.49153703,-0.34936652,-0.24227194,0.2361341642528084,0.3287836305464598,0.2685614774555864
Italy Monoca,-0.055221654,-0.43005553,-0.43935907,-0.051864523,0.16705242417031507,0.4484067062582263,0.26552642290108397
Ayaka Konno,0.039046336,-0.10315745,-0.13731112,-0.7456739,0.39891603926234154,0.012522364450236025,0.2636782530781046
Rebecca Ferguson,-0.08233887,-0.32085958,-0.20805153,-0.6125624,0.3446129817653708,0.0961493958626038,0.25765072669940237
Thầm Nguyệt,-0.1449303,-0.45232245,-0.4274394,-0.12915003,0.1762024209734848,0.3998522423568371,0.2544798584576581
Miyoshi Ayaka,0.045681994,-0.24538966,-0.24583614,-0.56243265,0.3156080629455532,0.12764331019715897,0.24982039948361523
Riho Takada,-0.094276756,-0.38720158,-0.28020138,-0.493293,0.2892279839550978,0.17108015586706812,0.2478762441242874
Phương Lôi,0.022836413,-0.19686764,-0.39295775,-0.25493878,0.20267186075395005,0.3208257138632624,0.2440257093422094
Kudo Shizuka,0.0025357981,-0.24400643,-0.29305896,-0.5207689,0.27935801138903693,0.1538184771061566,0.23541917439002882
Natsukawa Yui,0.08303721,0.10327147,-0.2772655,-0.56722957,0.2914816782783878,0.12462965488170828,0.23308347008954997
Tanaka Yuko,0.028429452,-0.016355513,-0.23668586,-0.6696169,0.3226321695481779,0.06030502130655916,0.23081766766361136
Kim Hae Ri,-0.17307438,-0.44201833,-0.5079288,-0.08229275,0.11441566406754275,0.4292902340138923,0.22462176354876506
Nakamori Akina,-0.13228951,-0.31098405,-0.28608403,-0.66472286,0.2847122357259802,0.06337969206613575,0.20724584544503466
Kim Jung Won,0.01890846,-0.4005278,-0.57653236,-0.11837054,0.06175293475657493,0.4066244352089896,0.18245795991492006
Sana,0.03311683,-0.4873569,-0.4968065,-0.34257755,0.12295356901322452,0.26576683336284523,0.17293821153559175
Seino Nana,0.121855296,-0.14583193,-0.50377226,-0.37460533,0.11760638392071378,0.24564544517228015,0.162420055358762
Lee Ju Eun,-0.051770918,-0.46031314,-0.6170273,-0.18216018,0.030667462462077646,0.3665487225315453,0.1482259034863913
Blake Lively,-0.13112254,-0.19829513,-0.45078054,-0.6219646,0.1582848648345701,0.09024248267519801,0.13447003107878985
Choi Ye-won,-0.116046496,-0.43175602,-0.44019866,-0.6759617,0.16640792261817702,0.056318913502911884,0.1278767694278342
Grace Kelly,-0.07811977,-0.5629965,-0.6569777,-0.6441723,0.0,0.07629053993924774,0.026701688978736707
