person,person_id,similarity_to_type,cluster,num_videos
Miyoshi Ayaka,miyoshi_ayaka,-0.38509518,1,8
Arimura Kasumi,arimura_kasumi,-0.38545904,1,9
Son Ye-jin,son_yejin,-0.3874257,0,8
Diệp Bảo Ngọc,dip_bo_ngc,-0.4035219,1,6
Tao Tsuchiya,tao_tsuchiya,-0.408031,1,7
Nagasawa Masami,nagasawa_masami,-0.4097166,1,8
Sana,sana,-0.4682483,1,9
Catherine zeta jones,catherine_zeta_jones,-0.47032982,1,6
Grace Kelly,grace_kelly,-0.49374372,1,7
Heidy Larmar,heidy_larmar,-0.50664824,1,9
Natsukawa Yui,natsukawa_yui,-0.64688253,1,7
